year,id,problem,solution,answer_type,source,type,original_problem,original_solution,variation
1985,B5,"Given that $\int_{-\infty}^\infty e^{-x^2}\,dx = \sqrt{\pi}$, evaluate the expression $\int_0^\infty t^{-1/2}e^{-556(t+t^{-1})}\,dt$.","Let $I(x) = \int_0^\infty t^{-1/2}e^{-at-x/t}\, dt$, where $a = 556$. Then \[ I'(x) = -\int_0^\infty t^{-3/2}e^{-at-x/t}\, dt. \] Make the substitution $u = 1/t$, and the last equation becomes \[ I'(x) = -\int_0^\infty u^{-1/2}e^{-au-xu}\, du. \] Now let $w = \frac{x}{a}u$, and the last equation is \[ I'(x) = -\left(\frac{a}{x}\right)^{1/2} \int_0^\infty w^{-1/2}e^{-xw-aw}\, dw = -\left(\frac{a}{x}\right)^{1/2} I(x). \] Therefore, $\log I(x) = -2(ax)^{1/2} + C$, or equivalently, $I(x) = ke^{-2(ax)^{1/2}}$. Also, \[ k = I(0) = \int_0^\infty t^{-1/2}e^{-at}\, dt = \int_0^\infty 2e^{-at^2}\, dt = \frac{\sqrt{\pi}}{\sqrt{a}}. \] This yields \[ I(a) = \boxed{\frac{\sqrt{\pi}}{\sqrt{556}}e^{-1112}}. \] (Note: the integral is essentially the K-Bessel function $K_{1/2}(3970)$.)",numerical,,constant,,,1
1985,B5,"Given that $\int_{-\infty}^\infty e^{-x^2}\,dx = \sqrt{\pi}$, evaluate the expression $\int_0^\infty t^{-1/2}e^{-202(t+t^{-1})}\,dt$.","Let $I(x) = \int_0^\infty t^{-1/2}e^{-at-x/t}\, dt$, where $a = 202$. Then \[ I'(x) = -\int_0^\infty t^{-3/2}e^{-at-x/t}\, dt. \] Make the substitution $u = 1/t$, and the last equation becomes \[ I'(x) = -\int_0^\infty u^{-1/2}e^{-au-xu}\, du. \] Now let $w = \frac{x}{a}u$, and the last equation is \[ I'(x) = -\left(\frac{a}{x}\right)^{1/2} \int_0^\infty w^{-1/2}e^{-xw-aw}\, dw = -\left(\frac{a}{x}\right)^{1/2} I(x). \] Therefore, $\log I(x) = -2(ax)^{1/2} + C$, or equivalently, $I(x) = ke^{-2(ax)^{1/2}}$. Also, \[ k = I(0) = \int_0^\infty t^{-1/2}e^{-at}\, dt = \int_0^\infty 2e^{-at^2}\, dt = \frac{\sqrt{\pi}}{\sqrt{a}}. \] This yields \[ I(a) = \boxed{\frac{\sqrt{\pi}}{\sqrt{202}}e^{-404}}. \] (Note: the integral is essentially the K-Bessel function $K_{1/2}(3970)$.)",numerical,,constant,,,2
1985,B5,"Given that $\int_{-\infty}^\infty e^{-x^2}\,dx = \sqrt{\pi}$, evaluate the expression $\int_0^\infty t^{-1/2}e^{-1226(t+t^{-1})}\,dt$.","Let $I(x) = \int_0^\infty t^{-1/2}e^{-at-x/t}\, dt$, where $a = 1226$. Then \[ I'(x) = -\int_0^\infty t^{-3/2}e^{-at-x/t}\, dt. \] Make the substitution $u = 1/t$, and the last equation becomes \[ I'(x) = -\int_0^\infty u^{-1/2}e^{-au-xu}\, du. \] Now let $w = \frac{x}{a}u$, and the last equation is \[ I'(x) = -\left(\frac{a}{x}\right)^{1/2} \int_0^\infty w^{-1/2}e^{-xw-aw}\, dw = -\left(\frac{a}{x}\right)^{1/2} I(x). \] Therefore, $\log I(x) = -2(ax)^{1/2} + C$, or equivalently, $I(x) = ke^{-2(ax)^{1/2}}$. Also, \[ k = I(0) = \int_0^\infty t^{-1/2}e^{-at}\, dt = \int_0^\infty 2e^{-at^2}\, dt = \frac{\sqrt{\pi}}{\sqrt{a}}. \] This yields \[ I(a) = \boxed{\frac{\sqrt{\pi}}{\sqrt{1226}}e^{-2452}}. \] (Note: the integral is essentially the K-Bessel function $K_{1/2}(3970)$.)",numerical,,constant,,,3
1985,B5,"Given that $\int_{-\infty}^\infty e^{-x^2}\,dx = \sqrt{\pi}$, evaluate the expression $\int_0^\infty t^{-1/2}e^{-1103(t+t^{-1})}\,dt$.","Let $I(x) = \int_0^\infty t^{-1/2}e^{-at-x/t}\, dt$, where $a = 1103$. Then \[ I'(x) = -\int_0^\infty t^{-3/2}e^{-at-x/t}\, dt. \] Make the substitution $u = 1/t$, and the last equation becomes \[ I'(x) = -\int_0^\infty u^{-1/2}e^{-au-xu}\, du. \] Now let $w = \frac{x}{a}u$, and the last equation is \[ I'(x) = -\left(\frac{a}{x}\right)^{1/2} \int_0^\infty w^{-1/2}e^{-xw-aw}\, dw = -\left(\frac{a}{x}\right)^{1/2} I(x). \] Therefore, $\log I(x) = -2(ax)^{1/2} + C$, or equivalently, $I(x) = ke^{-2(ax)^{1/2}}$. Also, \[ k = I(0) = \int_0^\infty t^{-1/2}e^{-at}\, dt = \int_0^\infty 2e^{-at^2}\, dt = \frac{\sqrt{\pi}}{\sqrt{a}}. \] This yields \[ I(a) = \boxed{\frac{\sqrt{\pi}}{\sqrt{1103}}e^{-2206}}. \] (Note: the integral is essentially the K-Bessel function $K_{1/2}(3970)$.)",numerical,,constant,,,4
1985,B5,"Given that $\int_{-\infty}^\infty e^{-x^2}\,dx = \sqrt{\pi}$, evaluate the expression $\int_0^\infty t^{-1/2}e^{-1014(t+t^{-1})}\,dt$.","Let $I(x) = \int_0^\infty t^{-1/2}e^{-at-x/t}\, dt$, where $a = 1014$. Then \[ I'(x) = -\int_0^\infty t^{-3/2}e^{-at-x/t}\, dt. \] Make the substitution $u = 1/t$, and the last equation becomes \[ I'(x) = -\int_0^\infty u^{-1/2}e^{-au-xu}\, du. \] Now let $w = \frac{x}{a}u$, and the last equation is \[ I'(x) = -\left(\frac{a}{x}\right)^{1/2} \int_0^\infty w^{-1/2}e^{-xw-aw}\, dw = -\left(\frac{a}{x}\right)^{1/2} I(x). \] Therefore, $\log I(x) = -2(ax)^{1/2} + C$, or equivalently, $I(x) = ke^{-2(ax)^{1/2}}$. Also, \[ k = I(0) = \int_0^\infty t^{-1/2}e^{-at}\, dt = \int_0^\infty 2e^{-at^2}\, dt = \frac{\sqrt{\pi}}{\sqrt{a}}. \] This yields \[ I(a) = \boxed{\frac{\sqrt{\pi}}{\sqrt{1014}}e^{-2028}}. \] (Note: the integral is essentially the K-Bessel function $K_{1/2}(3970)$.)",numerical,,constant,,,5
1986,A1,"For all real numbers $x$ satisfying $x^4+173056\leq 2768x^2$, what is the maximum value of $f(x)=x^3-3x$?","The condition that $x^4 + 173056 \leq 2768x^2$ is equivalent to \[ (x - 52)(x - 8)(x + 8)(x + 52) \leq 0. \] The latter is satisfied if and only if $x$ is in the closed interval $[-52, -8]$ or the closed interval $[8, 52]$. The function $f$ is increasing on these intervals because for such $x$, $f'(x) = 3(x^2 - 1) > 0$. It follows that the maximum value of $f$ over this domain is $\max \{f(-8), f(52)\} = \boxed{140452}.$",numerical,,constant,,,1
1986,A1,"For all real numbers $x$ satisfying $x^4+16941456\leq 9457x^2$, what is the maximum value of $f(x)=x^3-3x$?","The condition that $x^4 + 16941456 \leq 9457x^2$ is equivalent to \[ (x - 84)(x - 49)(x + 49)(x + 84) \leq 0. \] The latter is satisfied if and only if $x$ is in the closed interval $[-84, -49]$ or the closed interval $[49, 84]$. The function $f$ is increasing on these intervals because for such $x$, $f'(x) = 3(x^2 - 1) > 0$. It follows that the maximum value of $f$ over this domain is $\max \{f(-49), f(84)\} = \boxed{592452}.$",numerical,,constant,,,2
1986,A1,"For all real numbers $x$ satisfying $x^4+99225\leq 2074x^2$, what is the maximum value of $f(x)=x^3-3x$?","The condition that $x^4 + 99225 \leq 2074x^2$ is equivalent to \[ (x - 45)(x - 7)(x + 7)(x + 45) \leq 0. \] The latter is satisfied if and only if $x$ is in the closed interval $[-45, -7]$ or the closed interval $[7, 45]$. The function $f$ is increasing on these intervals because for such $x$, $f'(x) = 3(x^2 - 1) > 0$. It follows that the maximum value of $f$ over this domain is $\max \{f(-7), f(45)\} = \boxed{90990}.$",numerical,,constant,,,3
1986,A1,"For all real numbers $x$ satisfying $x^4+861184\leq 1865x^2$, what is the maximum value of $f(x)=x^3-3x$?","The condition that $x^4 + 861184 \leq 1865x^2$ is equivalent to \[ (x - 32)(x - 29)(x + 29)(x + 32) \leq 0. \] The latter is satisfied if and only if $x$ is in the closed interval $[-32, -29]$ or the closed interval $[29, 32]$. The function $f$ is increasing on these intervals because for such $x$, $f'(x) = 3(x^2 - 1) > 0$. It follows that the maximum value of $f$ over this domain is $\max \{f(-29), f(32)\} = \boxed{32672}.$",numerical,,constant,,,4
1986,A1,"For all real numbers $x$ satisfying $x^4+729\leq 90x^2$, what is the maximum value of $f(x)=x^3-3x$?","The condition that $x^4 + 729 \leq 90x^2$ is equivalent to \[ (x - 9)(x - 3)(x + 3)(x + 9) \leq 0. \] The latter is satisfied if and only if $x$ is in the closed interval $[-9, -3]$ or the closed interval $[3, 9]$. The function $f$ is increasing on these intervals because for such $x$, $f'(x) = 3(x^2 - 1) > 0$. It follows that the maximum value of $f$ over this domain is $\max \{f(-3), f(9)\} = \boxed{702}.$",numerical,,constant,,,5
