text,subject_label,subject_conf,tactic_label,tactic_conf
"the rank-nullity theorem implies dim(ker(h)) + dim(im(t)) = dim(r^3). hence, if c_n is bipartite, it contains no odd cycle. hence, the derivative of a sum is the sum of derivatives.",10,0.5687476571460388,0,0.44715674591126325
"by the pigeonhole principle, there exist two vertices with the same degree.",-1,0.24510332989977784,-1,0.14285714285714288
"v intersection (g union t) = (v intersection g) union (v intersection t). therefore, for all x, if p(x) then q(x).",7,0.5700373377192495,0,0.44715674591126325
"by the mean value theorem, there exists c in (15, 19) such that f'(c) = (f(19) - f(15)) / (19 - 15).",-1,0.13739297714288734,-1,0.34425219580108696
there exists a bijection between e and g under certain conditions.,-1,0.13739297714288734,-1,0.34425219580108696
boundary conditions are omitted for brevity.,5,0.4922501235615705,-1,0.14285714285714288
there exists infinitely many primes greater than 5.,-1,0.2622082664807506,-1,0.34425219580108696
"by the law of total probability, p(a) = σ p(a|b_i)p(b_i).",7,0.7893344811237564,-1,0.14285714285714288
"if a series of continuous functions converges uniformly, the limit is continuous. moreover, for all s in r, there exists q3 such that s = 44q3.",9,0.4788904318919807,-1,0.3057931168813066
var(x) = e[x^2] - (e[x])^2.,-1,0.37078444703070734,-1,0.14285714285714288
"for all c in q, there exists y such that c = 39y.",-1,0.13739297714288734,-1,0.3057931168813066
integration by parts: ∫ u dv = uv - ∫ v du.,-1,0.29875788909960455,-1,0.14285714285714288
the null space of a matrix equals the set of solutions to mv = 0.,-1,0.36946714767014693,-1,0.14285714285714288
"if v and m are independent, then p(v intersection m) = p(v) p(m). also, by contradiction: assume not p, derive a contradiction, conclude p.",10,0.5594942688939264,1,0.5686927545792654
"(c union e) complement = c complement intersection e complement . also, for all w, if w in f and f subset u, then w in u.",11,0.8254104687245687,-1,0.2380908030031178
"if a series of continuous functions converges uniformly, the limit is continuous.",9,0.5678462315613136,-1,0.14285714285714288
"if n is invertible, then det(n) not equal 0. also, if g is bipartite, it contains no odd cycle.",-1,0.39238888554066015,-1,0.2380908030031178
"t \ s = t intersection s complement . moreover, (u union a) complement = u complement intersection a complement .",-1,0.25127493930232064,-1,0.14285714285714288
"the null space of a matrix equals the set of solutions to ny = 0. also, let g: r^3  implies  r^3 be linear; then f(s + y) = f(s) + t(y).",1,0.6194049147867696,-1,0.2380908030031178
the rank-nullity theorem implies dim(ker(t)) + dim(im(f)) = dim(r^3).,10,0.43034660717828527,-1,0.2380908030031178
"if w and s are independent, then p(w intersection s) = p(w) p(s). moreover, integration by parts: ∫ u dv = uv - ∫ v du.",7,0.8959045849219452,-1,0.2380908030031178
there exists a path between any two vertices in a connected h.,5,0.7440911876685691,-1,0.34425219580108696
"for all q in z, there exists x such that q = 1x.",-1,0.13739297714288734,-1,0.3057931168813066
assume standard smoothness; details are routine.,-1,0.08333333333333333,-1,0.14285714285714288
eigenvalues of a triangular matrix are its diagonal entries.,-1,0.3050935183750707,-1,0.14285714285714288
let f: r^2  implies  r^2 be linear; then f(b7 + u3) = t(b7) + g(u3).,-1,0.22119044987784933,-1,0.2380908030031178
"existential instantiation introduces a fresh witness s. also, consider the mapping t with unknown regularity.",-1,0.24510332989977784,-1,0.14285714285714288
"for all z, if z in c and c subset a, then z in a. also, eigenvalues of a triangular matrix are its diagonal entries.",11,0.9105756812583533,-1,0.2380908030031178
"if m is invertible, then det(m) not equal 0.",10,0.40500818603642824,-1,0.2380908030031178
"d \ v = d intersection v complement . also, by the mean value theorem, there exists c in (24, 19) such that f'(c) = (f(19) - f(24)) / (19 - 24).",-1,0.27303167144268287,-1,0.34425219580108696
